pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
80,78,55,57,15,14,114,鲁东大学,07:00:00,2013-07-08,烟台,110
51,127,112,155,63,40,55,台儿庄环保局,07:00:00,2013-07-08,枣庄,208
41,35,76,57,15,24,44,轴承厂,07:00:00,2013-07-08,烟台,38
41,40,142,107,38,52,44,华夏技校,07:00:00,2013-07-08,威海,43
43,60,99,132,48,35,46,育红小学,07:00:00,2013-07-08,无锡,73
56,54,87,84,28,29,66,瓯海,07:00:00,2013-07-08,温州,62
66,52,72,80,26,22,86,大季家,07:00:00,2013-07-08,烟台,57
36,27,127,82,27,46,39,市环境监测站,07:00:00,2013-07-08,威海,29
34,56,95,124,45,33,37,大学城,07:00:00,2013-07-08,无锡,66
55,64,115,137,50,41,63,高港区政府,07:00:00,2013-07-08,泰州,81
40,26,72,70,21,22,43,牟平区环保局,07:00:00,2013-07-08,烟台,28
42,24,66,57,15,19,45,西郊化工站,07:00:00,2013-07-08,烟台,26
28,28,105,70,21,37,30,高区交行,07:00:00,2013-07-08,威海,30
50,59,95,117,42,33,54,旺庄,07:00:00,2013-07-08,无锡,71
48,65,107,153,60,38,52,莲花,07:00:00,2013-07-08,泰州,84
121,70,177,132,48,105,196,经济开发区,07:00:00,2013-07-08,潍坊,94
27,30,59,61,17,16,29,黄岩环保大楼,07:00:00,2013-07-08,台州,32
60,48,57,63,18,15,73,开发区B 区,07:00:00,2013-07-08,烟台,52
44,31,102,63,18,36,48,蓝天宾馆,07:00:00,2013-07-08,威海,34
53,66,93,129,47,32,59,东亭,07:00:00,2013-07-08,无锡,86
59,72,107,152,57,38,71,公园路,07:00:00,2013-07-08,泰州,98
108,72,177,152,57,106,170,商校,07:00:00,2013-07-08,潍坊,97
42,42,50,59,16,12,45,台州环保大楼,07:00:00,2013-07-08,台州,45
31,32,46,59,16,11,33,路桥田洋王,07:00:00,2013-07-08,台州,35
35,33,93,68,20,32,38,张村政府,07:00:00,2013-07-08,威海,36
22,28,68,63,18,20,24,木工机械厂,07:00:00,2013-07-08,威海,30
51,59,91,127,46,31,55,市北高中,07:00:00,2013-07-08,无锡,72
36,63,95,149,55,33,39,留学生创业园,07:00:00,2013-07-08,泰州,79
91,72,176,160,73,103,135,市环保局,07:00:00,2013-07-08,潍坊,97
48,54,80,112,40,26,52,堰桥,07:00:00,2013-07-08,无锡,62
101,71,176,154,62,104,155,刘家园,07:00:00,2013-07-08,潍坊,96
63,54,149,127,46,55,80,宿豫区环保局,07:00:00,2013-07-08,宿迁,62
382,143,211,168,88,161,490,职工医院,07:00:00,2013-07-08,石家庄,239
43,52,74,97,34,23,46,漆塘,07:00:00,2013-07-08,无锡,58
105,73,174,152,58,100,163,市仲裁委,07:00:00,2013-07-08,潍坊,100
58,55,139,142,52,51,70,市监测站,07:00:00,2013-07-08,宿迁,64
317,138,189,157,67,129,438,西北水源,07:00:00,2013-07-08,石家庄,230
86,72,169,155,63,91,125,锦程中学,07:00:00,2013-07-08,潍坊,97
56,59,107,129,47,38,66,宿迁学院,07:00:00,2013-07-08,宿迁,71
172,124,199,167,86,149,297,化工学校,07:00:00,2013-07-08,石家庄,201
53,33,89,61,17,30,59,观澜,07:00:00,2013-07-08,深圳,36
89,72,153,129,47,59,132,浑南二,07:00:00,2013-07-08,沈阳,98
124,86,167,153,60,86,201,共达公司,07:00:00,2013-07-08,潍坊,125
40,60,68,80,26,20,43,宿迁中学,07:00:00,2013-07-08,宿迁,74
193,120,191,165,82,133,340,人民会堂,07:00:00,2013-07-08,石家庄,193
38,21,80,53,13,26,41,龙岗,07:00:00,2013-07-08,深圳,23
78,71,152,139,51,58,109,东软,07:00:00,2013-07-08,沈阳,95
50,50,76,70,21,24,54,市环保站,07:00:00,2013-07-08,绍兴,54
37,51,91,72,22,31,40,衢州学院,07:00:00,2013-07-08,衢州,56
148,64,170,107,38,93,250,岚山环保分局,07:00:00,2013-07-08,日照,82
92,66,166,153,60,84,138,寒亭区,07:00:00,2013-07-08,潍坊,86
139,132,188,163,79,128,231,高新区,07:00:00,2013-07-08,石家庄,218
44,40,76,66,19,24,47,南澳,07:00:00,2013-07-08,深圳,43
68,67,129,142,52,47,89,二毛,07:00:00,2013-07-08,沈阳,87
31,34,76,61,17,24,33,城东开发委,07:00:00,2013-07-08,绍兴,37
56,44,89,76,24,30,65,实验学校,07:00:00,2013-07-08,衢州,48
59,36,159,110,39,71,71,市政府广场,07:00:00,2013-07-08,日照,39
76,61,163,112,40,79,106,鑫汇集团,07:00:00,2013-07-08,潍坊,76
164,125,187,162,76,126,282,世纪公园,07:00:00,2013-07-08,石家庄,203
15,12,50,33,8,12,16,洪湖,07:00:00,2013-07-08,深圳,13
82,78,127,122,44,46,118,张士,07:00:00,2013-07-08,沈阳,109
37,41,74,76,24,23,40,袍江站,07:00:00,2013-07-08,绍兴,44
24,35,80,82,27,26,26,环保大楼,07:00:00,2013-07-08,衢州,38
75,54,157,99,35,68,103,市监测站,07:00:00,2013-07-08,日照,61
163,127,166,167,86,85,279,封龙山,07:00:00,2013-07-08,石家庄,207
36,18,25,21,5,6,39,盐田,07:00:00,2013-07-08,深圳,19
66,65,122,134,49,44,86,辉山,07:00:00,2013-07-08,沈阳,83
70,41,155,110,39,64,93,职业技术学院,07:00:00,2013-07-08,日照,44
43,41,78,74,23,25,46,太古小学,07:00:00,2013-07-08,宁波,44
23,19,29,21,5,7,25,葵涌,07:00:00,2013-07-08,深圳,20
76,74,112,127,46,40,105,文艺路,07:00:00,2013-07-08,沈阳,102
72,50,149,91,31,55,98,教授花园,07:00:00,2013-07-08,日照,54
20,47,70,76,24,21,22,市环境监测中心,07:00:00,2013-07-08,宁波,51
29,19,21,25,6,5,31,梅沙,07:00:00,2013-07-08,深圳,20
75,72,112,119,43,40,103,小河沿,07:00:00,2013-07-08,沈阳,98
83,59,137,89,30,50,119,金马工业园,07:00:00,2013-07-08,日照,71
50,47,70,70,21,21,54,三江中学,07:00:00,2013-07-08,宁波,51
56,54,91,91,31,31,65,吉山新村,07:00:00,2013-07-08,湖州,62
12,37,29,61,17,7,13,西乡,07:00:00,2013-07-08,深圳,40
80,77,82,76,24,27,114,炮兵学院,07:00:00,2013-07-08,沈阳,108
56,35,115,82,27,41,66,港务局,07:00:00,2013-07-08,日照,38
44,39,68,68,20,20,47,万里学院,07:00:00,2013-07-08,宁波,42
28,48,78,99,35,25,30,城北水厂,07:00:00,2013-07-08,湖州,52
117,105,194,170,93,139,188,电机北厂,07:00:00,2013-07-08,衡水,163
117,98,167,163,79,86,188,华润制药,07:00:00,2013-07-08,菏泽,150
22,17,29,21,5,7,24,华侨城,07:00:00,2013-07-08,深圳,18
58,69,78,105,37,25,69,太原街,07:00:00,2013-07-08,沈阳,91
31,41,66,74,23,19,34,市政管理站,07:00:00,2013-07-08,宁波,44
91,92,182,168,88,116,136,市环保局,07:00:00,2013-07-08,衡水,137
106,109,160,161,75,73,166,菏泽学院,07:00:00,2013-07-08,菏泽,172
23,21,17,33,8,4,25,荔园,07:00:00,2013-07-08,深圳,23
66,68,76,93,32,24,85,辽大,07:00:00,2013-07-08,沈阳,90
23,39,61,70,21,17,25,龙赛医院,07:00:00,2013-07-08,宁波,42
75,75,155,157,68,64,103,牡丹高新区,07:00:00,2013-07-08,菏泽,103
53,62,72,112,40,22,60,北陵,07:00:00,2013-07-08,沈阳,78
21,34,53,55,14,13,23,钱湖水厂,07:00:00,2013-07-08,宁波,37
82,81,152,153,60,58,118,气象局,07:00:00,2013-07-08,菏泽,115
44,58,84,95,33,28,48,滨江,07:00:00,2013-07-08,杭州,69
25,30,53,61,17,13,27,区环保大楼,07:00:00,2013-07-08,宁波,32
53,51,80,89,30,26,59,浙江农大,07:00:00,2013-07-08,杭州,56
59,51,78,89,30,25,71,城厢镇,07:00:00,2013-07-08,杭州,56
75,44,91,55,14,31,104,师大,07:00:00,2013-07-08,福州,48
51,47,76,78,25,24,55,和睦小学,07:00:00,2013-07-08,杭州,51
61,53,82,61,17,27,76,快安,07:00:00,2013-07-08,福州,60
123,105,169,161,75,91,200,胜利医院,07:00:00,2013-07-08,东营,163
245,109,199,185,122,148,386,监测站,07:00:00,2013-07-08,德州,171
59,56,74,89,30,23,72,临平镇,07:00:00,2013-07-08,杭州,66
27,45,63,55,14,18,29,紫阳,07:00:00,2013-07-08,福州,49
128,102,168,157,67,88,210,职业学院,07:00:00,2013-07-08,东营,158
133,102,239,197,145,189,220,双一集团,07:00:00,2013-07-08,德州,158
25,29,63,68,20,18,27,千岛湖,07:00:00,2013-07-08,杭州,31
